,SP500,USD_EUR,USD_GBP
2011-02-03,100.04630279541016,1.3654,1.6159
2011-02-04,100.32939910888672,1.3584,1.6089
2011-02-07,100.9566650390625,1.3557,1.6111
2011-02-08,101.4156494140625,1.3687,1.6091
2011-02-09,101.18616485595703,1.3688,1.6089
2011-02-10,101.22442626953125,1.3637,1.6132
2011-02-11,101.82877349853516,1.352,1.5986
2011-02-14,102.07356262207031,1.3474,1.6023
2011-02-15,101.75228881835938,1.3494,1.6128
2011-02-16,102.39483642578125,1.3547,1.6063
2011-02-17,102.70088958740234,1.3612,1.6172
2011-02-18,102.91503143310547,1.3673,1.6245
2011-02-21,,,
2011-02-22,100.84957122802734,1.3661,1.6129
2011-02-23,100.22991943359375,1.3758,1.6221
2011-02-24,100.16104888916016,1.3794,1.6106
2011-02-25,101.2320785522461,1.3757,1.6078
2011-02-28,101.85936737060547,1.3793,1.6247
2011-03-01,100.16104888916016,1.3813,1.6309
2011-03-02,100.37527465820312,1.3869,1.6311
2011-03-03,102.10417175292969,1.3947,1.6266
2011-03-04,101.33917236328125,1.3983,1.625
2011-03-07,100.54358673095703,1.3976,1.6204
2011-03-08,101.42330932617188,1.3912,1.6164
2011-03-09,101.27796936035156,1.3906,1.6202
2011-03-10,99.40373229980469,1.3823,1.6063
2011-03-11,100.09221649169922,1.3864,1.6033
2011-03-14,99.48786926269531,1.3975,1.6181
2011-03-15,98.34805297851562,1.3968,1.6064
2011-03-16,96.52732849121094,1.3922,1.6028
2011-03-17,97.80485534667969,1.4021,1.6143
2011-03-18,98.16059112548828,1.4141,1.6187
2011-03-21,99.681884765625,1.4184,1.6276
2011-03-22,99.33617401123047,1.4212,1.6387
2011-03-23,99.6203842163086,1.4124,1.6246
2011-03-24,100.5731201171875,1.42,1.6159
2011-03-25,100.88047790527344,1.4144,1.6086
2011-03-28,100.63461303710938,1.4104,1.6024
2011-03-29,101.31071472167969,1.409,1.5983
2011-03-30,102.00990295410156,1.4095,1.6038
2011-03-31,101.87157440185547,1.4183,1.6048
2011-04-01,102.3018569946289,1.4215,1.6132
2011-04-04,102.38641357421875,1.4221,1.6129
2011-04-05,102.37100982666016,1.423,1.6282
2011-04-06,102.69368743896484,1.4333,1.6314
2011-04-07,102.4324951171875,1.4287,1.6304
2011-04-08,102.07904815673828,1.4437,1.6341
2011-04-11,101.7717514038086,1.4454,1.6386
2011-04-12,101.01106262207031,1.4455,1.6263
2011-04-13,101.00340270996094,1.4477,1.6285
2011-04-14,101.08023834228516,1.4464,1.635
2011-04-15,101.44900512695312,1.4443,1.6325
2011-04-18,100.31189727783203,1.4211,1.6229
2011-04-19,100.88813781738281,1.4319,1.6315
2011-04-20,102.26348876953125,1.4513,1.6405
2011-04-21,102.78590393066406,1.4585,1.6572
2011-04-22,,1.4545,1.6517
2011-04-25,102.67832946777344,1.4576,1.6497
2011-04-26,103.56188201904297,1.4625,1.6465
2011-04-27,104.2380142211914,1.4659,1.653
2011-04-28,104.57606506347656,1.4785,1.6636
2011-04-29,104.82197570800781,1.4821,1.6691
2011-05-02,104.66058349609375,1.487,1.669
2011-05-03,104.28411102294922,1.4875,1.6536
2011-05-04,103.5926284790039,1.4859,1.6524
2011-05-05,102.65528106689453,1.4583,1.6427
2011-05-06,103.10858917236328,1.4495,1.6417
2011-05-09,103.50816345214844,1.4301,1.6338
