,USDBRL,USDEUR
1997-12-16,1.1134,
1997-12-17,1.1141,
1997-12-18,1.1144,
1997-12-19,1.1148,
1997-12-22,1.1151,
1997-12-23,1.115,
1997-12-24,1.115,
1997-12-26,1.1151,
1997-12-29,1.1157,
1997-12-30,1.1164,
1997-12-31,1.1164,
1998-01-02,1.1165,
1998-01-05,1.1165,
1998-01-06,1.1169,
1998-01-07,1.1175,
1998-01-08,1.118,
1998-01-09,1.1184,
1998-01-12,1.1192,
1998-01-13,1.1187,
1998-01-14,1.119,
1998-01-15,1.1206,
1998-01-16,1.1205,
1998-01-19,1.1201,
1998-01-20,1.1205,
1998-01-21,1.1207,
1998-01-22,1.1206,
1998-01-23,1.1215,
1998-01-26,1.1216,
1998-01-27,1.1224,
1998-01-28,1.1227,
1998-01-29,1.123,
1998-01-30,1.1237,
1998-02-02,1.1236,
1998-02-03,1.1244,
1998-02-04,1.1245,
1998-02-05,1.1245,
1998-02-06,1.1254,
1998-02-09,1.1255,
1998-02-10,1.1264,
1998-02-11,1.1265,
1998-02-12,1.1268,
1998-02-13,1.1276,
1998-02-16,1.1274,
1998-02-17,1.1284,
1998-02-18,1.1286,
1998-02-19,1.1292,
1998-02-20,1.1295,
1998-02-25,1.1297,
1998-02-26,1.1298,
1998-02-27,1.1304,
1998-03-02,1.1305,
1998-03-03,1.1306,
1998-03-04,1.1314,
1998-03-05,1.1314,
1998-03-06,1.1315,
1998-03-09,1.1323,
1998-03-10,1.1324,
1998-03-11,1.1325,
1998-03-12,1.1328,
1998-03-13,1.1334,
1998-03-16,1.1335,
1998-03-17,1.1335,
1998-03-18,1.1344,
1998-03-19,1.1344,
1998-03-20,1.1346,
1998-03-23,1.1349,
1998-03-24,1.1352,
1998-03-25,1.1358,
1998-03-26,1.136,
1998-03-27,1.1364,
1998-03-30,1.1365,
1998-03-31,1.1374,
1998-04-01,1.1375,
1998-04-02,1.1375,
1998-04-03,1.1384,
1998-04-06,1.1388,
1998-04-07,1.1388,
1998-04-08,1.1394,
1998-04-13,1.1397,
1998-04-14,1.1404,
1998-04-15,1.1407,
1998-04-16,1.1409,
1998-04-17,1.1414,
1998-04-20,1.1418,
1998-04-22,1.1425,
1998-04-23,1.1428,
1998-04-24,1.1435,
1998-04-27,1.1441,
1998-04-28,1.1449,
1998-04-29,1.1453,
1998-04-30,1.1443,
1998-05-04,1.1442,
1998-05-05,1.1449,
1998-05-06,1.1452,
1998-05-07,1.1451,
1998-05-08,1.1455,
1998-05-11,1.1459,
1998-05-12,1.1463,
1998-05-13,1.1474,
1998-05-14,1.1473,
1998-05-15,1.1472,
1998-05-18,1.1475,
1998-05-19,1.1488,
1998-05-20,1.1489,
1998-05-21,1.1497,
1998-05-22,1.1515,
1998-05-25,1.1516,
1998-05-26,1.1531,
1998-05-27,1.152,
1998-05-28,1.15,
1998-05-29,1.1505,
1998-06-01,1.152,
1998-06-02,1.1517,
1998-06-03,1.1518,
1998-06-04,1.1517,
1998-06-05,1.1524,
1998-06-08,1.1529,
1998-06-09,1.1536,
1998-06-10,1.1546,
1998-06-12,1.1553,
1998-06-15,1.1551,
1998-06-16,1.1549,
1998-06-17,1.1553,
1998-06-18,1.1557,
1998-06-19,1.1562,
1998-06-22,1.1554,
1998-06-23,1.1555,
1998-06-24,1.1559,
1998-06-25,1.1561,
1998-06-26,1.1564,
1998-06-29,1.1566,
1998-06-30,1.1569,
1998-07-01,1.1572,
1998-07-02,1.1572,
1998-07-03,1.1575,
1998-07-06,1.1583,
1998-07-07,1.1589,
1998-07-08,1.1597,
1998-07-09,1.1612,
1998-07-10,1.1612,
1998-07-13,1.1619,
1998-07-14,1.1634,
1998-07-15,1.1615,
1998-07-16,1.1621,
1998-07-17,1.1617,
1998-07-20,1.1607,
1998-07-21,1.161,
1998-07-22,1.162,
1998-07-23,1.1647,
1998-07-24,1.1655,
1998-07-27,1.1661,
1998-07-28,1.1635,
1998-07-29,1.1632,
1998-07-30,1.1624,
1998-07-31,1.1634,
1998-08-03,1.1643,
1998-08-04,1.1659,
1998-08-05,1.1671,
1998-08-06,1.1681,
1998-08-07,1.1683,
1998-08-10,1.1692,
1998-08-11,1.1689,
1998-08-12,1.17,
1998-08-13,1.1716,
1998-08-14,1.1716,
1998-08-17,1.173,
1998-08-18,1.1739,
1998-08-19,1.1742,
1998-08-20,1.1738,
1998-08-21,1.1753,
1998-08-24,1.175,
1998-08-25,1.1747,
1998-08-26,1.1728,
1998-08-27,1.1753,
1998-08-28,1.1763,
1998-08-31,1.1769,
1998-09-01,1.1772,
1998-09-02,1.1774,
1998-09-03,1.178,
1998-09-04,1.1784,
1998-09-08,1.1769,
1998-09-09,1.1792,
1998-09-10,1.1794,
1998-09-11,1.1793,
1998-09-14,1.1803,
1998-09-15,1.1798,
1998-09-16,1.1796,
1998-09-17,1.1801,
1998-09-18,1.1808,
1998-09-21,1.1816,
1998-09-22,1.183,
1998-09-23,1.1838,
1998-09-24,1.1835,
1998-09-25,1.1848,
